Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas1             Pavarde1            2         1         10        4         3         10
Vardas2             Pavarde2            1         1         2         10        9         9
Vardas3             Pavarde3            6         8         1         9         7         0
Vardas4             Pavarde4            0         9         7         2         3         7
Vardas5             Pavarde5            7         4         10        9         3         2
Vardas6             Pavarde6            4         7         5         7         8         8
Vardas7             Pavarde7            1         2         1         3         8         1
Vardas8             Pavarde8            9         7         4         10        2         2
Vardas9             Pavarde9            3         1         9         3         0         5
Vardas10            Pavarde10           2         0         3         5         8         6
Vardas11            Pavarde11           4         0         10        5         2         4
Vardas12            Pavarde12           1         1         0         0         0         9
Vardas13            Pavarde13           1         8         5         3         4         9
Vardas14            Pavarde14           10        8         8         6         1         7
Vardas15            Pavarde15           8         8         7         4         5         7
Vardas16            Pavarde16           2         8         7         3         1         8
Vardas17            Pavarde17           6         1         8         3         4         1
Vardas18            Pavarde18           8         4         10        10        9         1
Vardas19            Pavarde19           8         2         5         3         1         0
Vardas20            Pavarde20           6         0         0         5         9         7
Vardas21            Pavarde21           5         5         7         5         2         7
Vardas22            Pavarde22           8         4         0         7         2         9
Vardas23            Pavarde23           9         9         9         4         4         10
Vardas24            Pavarde24           2         3         7         4         2         3
Vardas25            Pavarde25           10        5         8         9         7         0
Vardas26            Pavarde26           2         6         2         7         1         0
Vardas27            Pavarde27           1         8         0         4         10        2
Vardas28            Pavarde28           7         9         3         8         7         5
Vardas29            Pavarde29           10        8         10        4         2         8
Vardas30            Pavarde30           4         3         3         10        10        3
Vardas31            Pavarde31           5         4         6         1         6         7
Vardas32            Pavarde32           6         10        3         9         2         7
Vardas33            Pavarde33           1         4         4         4         0         6
Vardas34            Pavarde34           2         0         5         0         0         4
Vardas35            Pavarde35           2         5         9         8         5         0
Vardas36            Pavarde36           8         5         9         10        9         4
Vardas37            Pavarde37           3         2         6         3         10        5
Vardas38            Pavarde38           8         2         1         2         7         5
Vardas39            Pavarde39           0         0         3         2         4         2
Vardas40            Pavarde40           8         7         4         7         3         5
Vardas41            Pavarde41           6         1         5         3         6         7
Vardas42            Pavarde42           8         6         1         9         10        5
Vardas43            Pavarde43           5         8         5         8         6         4
Vardas44            Pavarde44           10        2         3         8         3         7
Vardas45            Pavarde45           0         4         5         8         1         9
Vardas46            Pavarde46           0         5         5         7         3         10
Vardas47            Pavarde47           9         4         7         4         10        9
Vardas48            Pavarde48           0         7         6         3         1         4
Vardas49            Pavarde49           1         7         5         5         10        0
Vardas50            Pavarde50           0         2         9         10        7         2
Vardas51            Pavarde51           2         5         3         1         7         5
Vardas52            Pavarde52           10        0         10        9         6         5
Vardas53            Pavarde53           6         10        2         10        6         6
Vardas54            Pavarde54           1         3         8         2         10        10
Vardas55            Pavarde55           9         1         0         1         1         1
Vardas56            Pavarde56           3         6         9         8         3         8
Vardas57            Pavarde57           10        5         10        5         7         2
Vardas58            Pavarde58           2         10        5         2         2         5
Vardas59            Pavarde59           9         5         10        9         4         2
